FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
45,HOLLYWOOD,yes,79825.8010653,121806059.967,HOLLYWOOD,4775,6996,52,76,2021/01/30,16545381.765625,29400.1352932703
46,MT. WASHINGTON,yes,42965.6426011,65523928.9661,MT. WASHINGTON,2636,10917,49,203,2021/01/30,8900261.85546875,15838.3181157202
47,SILVERLAKE, ,66382.7373582,106574030.533,SILVERLAKE,2828,6415,85,193,2021/01/30,14474850.265625,24466.9961365865
48,ELYSIAN VALLEY, ,41584.3559231,35595339.6638,ELYSIAN VALLEY,1186,11661,16,157,2021/01/30,4834150.16796875,15328.8225742238
49,THAI TOWN, ,10625.6825239,6169146.6207,THAI TOWN,774,7891,11,112,2021/01/30,838016.328125,3916.39693605584
50,LINCOLN HEIGHTS,yes,59940.4516926,89781645.9125,LINCOLN HEIGHTS,4728,14504,131,402,2021/01/30,12189906.078125,22096.7940710156
51,EL SERENO,yes,55189.3437351,107169905.159,EL SERENO,5741,13732,80,191,2021/01/30,14550834.1015625,20343.4116922023
52,EAST HOLLYWOOD, ,22836.2130292,30599981.4818,EAST HOLLYWOOD,2879,9830,86,294,2021/01/30,4155734.11328125,8416.24889534943
53,LITTLE ARMENIA, ,10443.9032865,6813643.18241,LITTLE ARMENIA,1040,12960,71,885,2021/01/30,925399.70703125,3848.83526420484
54,ECHO PARK, ,30983.2353192,34059171.2109,ECHO PARK,1223,8579,16,112,2021/01/30,4624379.421875,11425.3228863675
55,MELROSE, ,83856.843302,124909805.855,MELROSE,7184,9246,163,210,2021/01/30,16959992.1796875,30874.5511510001
56,ELYSIAN PARK, ,28944.4012833,36501652.1697,ELYSIAN PARK,454,7948,2,35,2021/01/30,4955444.84765625,10667.3744973454
57,TEMPLE-BEAUDRY, ,20920.365554,16542098.0453,TEMPLE-BEAUDRY,4572,11580,90,228,2021/01/30,2245783.5625,7708.10145815795
58,TEMPLE-BEAUDRY, ,29450.8712881,20434838.3179,TEMPLE-BEAUDRY,4572,11580,90,228,2021/01/30,2773304.9453125,10843.6429226092
59,WESTWOOD,yes,51016.1811463,102759969.152,WESTWOOD,2186,4040,19,35,2021/01/30,13947013.1601563,18791.3301214562
60,HANCOCK PARK, ,36798.8764493,55555881.2479,HANCOCK PARK,900,5282,8,47,2021/01/30,7540979.578125,13551.4864897684
61,WHOLESALE DISTRICT, ,75338.384039,172049780.374,WHOLESALE DISTRICT,5852,16198,81,224,2021/01/30,23337647.0820313,27760.9822554332
